,,,General Information,,,,,,,Current Academic Standing,,,GPA/Academic Performance from previous term:,,,Attendance Record,,,,Previous Academic Support Received,,,,,Academic Challenges,,,,,External/Personal Factors Affecting Performance,,
2202006430,"Rosales, Vincent Beth",BSIS / 3rd Year,CITC,Main,vincent.rosales8487@buksu.edu.ph,Regular,Grace B. Lopez,0,0,0,0,4,3rd - 1st Semester,1.28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2302005283,"Rivera, Rhea Hope",BPA / 4th Year,COA,Main,rhea.rivera2472@buksu.edu.ph,Regular,Mark T. Villanueva,0,1,1,1,7,3rd - 2nd Semester,2.59,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
2302007610,"Dela Cruz, Lyn Santos",BSEd-English / 2nd Year,CTE,Cabanglasan,lyn.delacruz6625@gmail.com,Regular,Grace B. Lopez,1,1,1,1,6,1st - 2nd Semester,2.97,4,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0
2302004333,"Lopez, Patrick Faith",BSCS / 4th Year,CITC,Cabanglasan,patrick.lopez509@yahoo.com,Face to face,Raul Lecaros,0,1,0,0,3,3rd - 2nd Semester,1.88,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2201008958,"Flores, Kevin Joy",BSEd-Math / 3rd Year,CTE,Main,kevin.flores5591@buksu.edu.ph,Online,Nina V. Mendoza,1,1,0,1,6,2nd - 2nd Semester,2.4,2,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
2501011631,"Villanueva, Patricia Mae",BPA / 1st Year,COA,Main,patricia.villanueva4233@buksu.edu.ph,Transferee,Mark T. Villanueva,0,0,0,0,2,1st - 1st Semester,1.95,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2201007174,"Domingo, Angel Rae",BSPsych / 1st Year,CAS,Kitaotao,angel.domingo4531@gmail.com,Returnee,Paolo D. Torres,1,1,1,1,6,1st - 1st Semester,2.79,5,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0
2202004861,"Valencia, Alyssa Rose",BSCS / 2nd Year,CITC,Main,alyssa.valencia879@buksu.edu.ph,Regular,Richard B. Salazar,0,0,0,0,3,2nd - 1st Semester,1.52,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2301004555,"Morales, Allen Jose",BSCrim / 1st Year,CCJE,Main,allen.morales4335@gmail.com,Regular,Angela S. Bautista,1,1,1,1,5,1st - 1st Semester,3.07,2,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0
2201013820,"Rivera, Bryan Rae",BSA / 1st Year,CBAA,Main,bryan.rivera9425@buksu.edu.ph,Face to face,Aileen C. Domingo,0,1,0,0,3,1st - 1st Semester,1.78,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
2301009319,"Ocampo, Vincent Claire",BSDAT-EMC / 3rd Year,F,Kalilangan,vincent.ocampo6771@buksu.edu.ph,Hybrid,Rhea L. Aquino,0,1,0,0,5,3rd - 1st Semester,2.23,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2401008503,"Castillo, Alyssa Santos",BSCrim / 3rd Year,CCJE,Main,alyssa.castillo9821@buksu.edu.ph,Transferee,Patrick M. Rosales,0,0,0,0,5,3rd - 1st Semester,2.15,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2402011774,"Padilla, Diana Paolo",BSMath / 2nd Year,CAS,Main,diana.padilla8230@yahoo.com,Face to face,Maria G. Ramos,0,1,0,0,4,1st - 2nd Semester,1.8,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2401005147,"Mercado, Joseph Paolo",BSBA-FM / 4th Year,CBAA,Kitaotao,joseph.mercado7111@yahoo.com,Regular,Mark T. Villanueva,1,1,0,0,5,3rd - 2nd Semester,2.36,2,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
2501011649,"Torres, Kaye Garcia",BSCS / 2nd Year,CITC,Main,kaye.torres9627@buksu.edu.ph,Returnee,Mark T. Villanueva,0,1,0,0,4,1st - 2nd Semester,2.44,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2401009800,"Pascual, Joseph Anne",BSA / 3rd Year,CBAA,Kitaotao,joseph.pascual2241@gmail.com,Transferee,Angela S. Bautista,1,1,1,1,8,3rd - 1st Semester,3.45,4,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1
2201006335,"Soriano, Elijah Rae",BSEd-English / 4th Year,CTE,Talakag,elijah.soriano5993@buksu.edu.ph,Online,Richard B. Salazar,0,1,1,0,4,3rd - 2nd Semester,2.52,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
2301012101,"Rosales, Paul Faith",BSMath / 2nd Year,CAS,Main,paul.rosales8851@buksu.edu.ph,Regular,John P. Navarro,0,1,1,1,3,1st - 2nd Semester,2.53,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
2201009495,"Aquino, Carlo Ramos",BSCS / 4th Year,CITC,Baungon,carlo.aquino9608@buksu.edu.ph,Transferee,Carla M. Reyes,1,1,1,1,7,3rd - 2nd Semester,2.85,3,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2402005073,"Flores, Sheila Beth",BSIS / 2nd Year,CITC,Main,sheila.flores711@gmail.com,Transferee,Angela S. Bautista,1,1,0,0,2,1st - 2nd Semester,2.38,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
2501013066,"Rosales, Bryan Cruz",BSN / 2nd Year,CON,Talakag,bryan.rosales6533@buksu.edu.ph,Face to face,Jose A. Flores,1,1,0,0,4,1st - 2nd Semester,2.32,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2301013871,"Salazar, Camille Rose",BSBio / 1st Year,CAS,Kalilangan,camille.salazar1774@buksu.edu.ph,Regular,Maria G. Ramos,0,1,0,1,5,1st - 1st Semester,1.82,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2302010913,"Flores, Patricia Louise",BSBA-FM / 3rd Year,CBAA,Malitbog,patricia.flores9300@buksu.edu.ph,Transferee,John P. Navarro,1,1,1,1,7,2nd - 2nd Semester,3.08,4,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0
2202008974,"Natividad, Vincent Marie",BSA / 2nd Year,CBAA,Main,vincent.natividad8150@gmail.com,Face to face,Jose A. Flores,0,0,0,0,1,2nd - 1st Semester,1.89,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2401010597,"Aguilar, Noel Jane",BPA / 1st Year,COA,Malitbog,noel.aguilar1252@buksu.edu.ph,Face to face,Paolo D. Torres,1,1,1,1,6,1st - 1st Semester,3.2,4,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
2501009217,"Villanueva, Christian Grace",BSCrim / 3rd Year,CCJE,Malitbog,christian.villanueva9690@buksu.edu.ph,Hybrid,Richard B. Salazar,1,1,0,0,5,2nd - 2nd Semester,2.3,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2401006866,"Gonzales, Joshua Jose",BSCrim / 2nd Year,CCJE,Baungon,joshua.gonzales5963@buksu.edu.ph,Face to face,Jose A. Flores,1,1,1,1,6,2nd - 1st Semester,3.3,4,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0
2202013789,"Ramos, Allen Garcia",BPA / 4th Year,COA,Cabanglasan,allen.ramos8625@buksu.edu.ph,Regular,Paolo D. Torres,1,1,1,1,3,3rd - 2nd Semester,2.35,3,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
2402011211,"Soriano, Bryan Mae",BSN / 4th Year,CON,Baungon,bryan.soriano7356@buksu.edu.ph,Face to face,Aileen C. Domingo,0,0,0,0,1,3rd - 2nd Semester,1.49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2301011403,"Mercado, Bryan Grace",BSN / 4th Year,CON,San Fernando,bryan.mercado437@buksu.edu.ph,Online,Carla M. Reyes,1,1,0,1,6,4th - 1st Semester,2.35,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
2201008763,"Reyes, Allen Rose",BSN / 2nd Year,CON,Malitbog,allen.reyes7490@buksu.edu.ph,Regular,Nina V. Mendoza,1,1,1,1,7,2nd - 1st Semester,3.69,6,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0
2201010382,"Dela Cruz, Kristine Rae",BEEd / 4th Year,CTE,Main,kristine.delacruz1699@gmail.com,Regular,Carla M. Reyes,1,1,0,0,3,3rd - 2nd Semester,1.57,2,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
2301009893,"Fernandez, Joseph Lyn",BSIS / 4th Year,CITC,Kibawe,joseph.fernandez6554@gmail.com,Transferee,Jose A. Flores,1,1,0,0,4,4th - 1st Semester,2.35,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2401011172,"Santos, Fatima Joy",BSEd-English / 2nd Year,CTE,Talakag,fatima.santos2622@yahoo.com,Face to face,Rhea L. Aquino,1,1,0,0,1,1st - 2nd Semester,2.35,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2301008311,"Morales, Jessa Lopez",BSEntrep / 1st Year,CBAA,Main,jessa.morales1214@buksu.edu.ph,Transferee,Nina V. Mendoza,0,1,0,0,5,1st - 1st Semester,2.28,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
2501013086,"Santos, Angelo Grace",BSBA-FM / 2nd Year,CBAA,Kitaotao,angelo.santos7843@buksu.edu.ph,Regular,Patrick M. Rosales,0,0,0,0,4,1st - 2nd Semester,2.18,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2402013073,"Morales, Grace Miguel",BSCS / 2nd Year,CITC,Main,grace.morales9514@buksu.edu.ph,Regular,Mark T. Villanueva,1,1,0,0,5,1st - 2nd Semester,2.2,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
2202011252,"Aquino, Alyssa Cruz",BPA / 3rd Year,COA,Main,alyssa.aquino5232@gmail.com,Transferee,Jose A. Flores,1,1,1,1,5,3rd - 1st Semester,2.78,3,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2301012199,"Bautista, John Claire",BSCrim / 4th Year,CCJE,Main,john.bautista5782@buksu.edu.ph,Face to face,Rhea L. Aquino,0,1,0,1,3,3rd - 2nd Semester,1.37,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2302010166,"Natividad, Janelle Mae",BSMath / 1st Year,CAS,Kalilangan,janelle.natividad8194@buksu.edu.ph,Face to face,Mark T. Villanueva,0,1,0,0,3,1st - 1st Semester,2.23,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2401011828,"Salazar, Fatima Beth",BSN / 3rd Year,CON,Baungon,fatima.salazar2794@buksu.edu.ph,Regular,Aileen C. Domingo,1,1,0,1,3,3rd - 1st Semester,2.3,3,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
2401010227,"Mercado, Mae Cruz",BPA / 3rd Year,COA,Cabanglasan,mae.mercado4332@gmail.com,Face to face,Leah C. Dizon,0,0,0,0,3,3rd - 1st Semester,1.26,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2402011904,"Fernandez, Rafael Garcia",BSA / 1st Year,CBAA,Baungon,rafael.fernandez9615@buksu.edu.ph,Face to face,Grace B. Lopez,1,1,0,1,7,1st - 1st Semester,2.3,3,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
2402013462,"Aguilar, Gabriel Rae",BSIT / 4th Year,CITC,Main,gabriel.aguilar2881@yahoo.com,Face to face,Patrick M. Rosales,0,0,0,0,4,4th - 1st Semester,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2401007221,"Rosales, Angelo Miguel",BSEd-English / 4th Year,CTE,Kalilangan,angelo.rosales1422@buksu.edu.ph,Face to face,John P. Navarro,1,1,0,0,4,4th - 1st Semester,2.3,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
2301007676,"Mendoza, Carlo Santos",BSCrim / 3rd Year,CCJE,Baungon,carlo.mendoza6814@gmail.com,Transferee,Aileen C. Domingo,0,1,0,0,4,2nd - 2nd Semester,2.17,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
2302006220,"Reyes, Sheila Ramos",BSCrim / 3rd Year,CCJE,Main,sheila.reyes357@buksu.edu.ph,Regular,Mark T. Villanueva,0,1,0,0,4,2nd - 2nd Semester,2.24,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2402009757,"Ramos, Miguel Garcia",BSMath / 3rd Year,CAS,Main,miguel.ramos57@gmail.com,Returnee,Nina V. Mendoza,1,1,0,0,3,2nd - 2nd Semester,2.08,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2401007620,"Morales, Carlo Reyes",BSN / 4th Year,CON,Kitaotao,carlo.morales5225@buksu.edu.ph,Regular,Patrick M. Rosales,0,0,0,0,1,4th - 1st Semester,1.4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2202007754,"Padilla, Rose Marie",BSCrim / 4th Year,CCJE,Baungon,rose.padilla6825@buksu.edu.ph,Face to face,Leah C. Dizon,1,1,0,1,1,3rd - 2nd Semester,2.11,2,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0
2402005985,"Pascual, Rhea Jose",BSBio / 2nd Year,CAS,Main,rhea.pascual5270@gmail.com,Online,Paolo D. Torres,0,0,1,0,2,1st - 2nd Semester,1.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2302013085,"Valencia, Kristine Beth",BSEntrep / 4th Year,CBAA,Cabanglasan,kristine.valencia8038@buksu.edu.ph,Regular,Carla M. Reyes,0,0,1,0,4,3rd - 2nd Semester,2.13,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
2401013103,"Bautista, Maria Mae",BSA / 3rd Year,CBAA,Main,maria.bautista8229@gmail.com,Regular,Aileen C. Domingo,1,1,1,1,6,2nd - 2nd Semester,3.05,3,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
2201010706,"Villanueva, Diana Garcia",BSIT / 3rd Year,CITC,Kitaotao,diana.villanueva1355@buksu.edu.ph,Online,Aileen C. Domingo,0,1,1,0,4,2nd - 2nd Semester,2.63,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2301006728,"Soriano, Kevin Claire",BPA / 2nd Year,COA,Kitaotao,kevin.soriano1285@buksu.edu.ph,Returnee,Raul Lecaros,1,1,1,1,8,2nd - 1st Semester,2.98,3,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0
2501008105,"Mendoza, John Hope",BSEd-English / 3rd Year,CTE,Cabanglasan,john.mendoza6384@buksu.edu.ph,Face to face,Raul Lecaros,1,1,1,1,4,2nd - 2nd Semester,2.76,3,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
2401012606,"Torres, Elijah Claire",BSMath / 2nd Year,CAS,Main,elijah.torres2391@buksu.edu.ph,Online,Jose A. Flores,0,1,0,0,1,1st - 2nd Semester,1.18,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2302009217,"Morales, Noel Lyn",BSEntrep / 4th Year,CBAA,Malitbog,noel.morales5340@buksu.edu.ph,Regular,Jose A. Flores,1,1,0,0,4,4th - 1st Semester,1.96,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2401011922,"Mercado, Janelle Reyes",BSEd-Math / 3rd Year,CTE,Malitbog,janelle.mercado5891@gmail.com,Regular,Rhea L. Aquino,0,1,0,0,5,2nd - 2nd Semester,2.18,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2301004474,"Navarro, Angel Jane",BSCS / 1st Year,CITC,Impasug-ong,angel.navarro2322@buksu.edu.ph,Face to face,Aileen C. Domingo,1,1,0,0,3,1st - 1st Semester,2.1,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2302004551,"Navarro, Christian Ramos",BSEd-English / 1st Year,CTE,Main,christian.navarro4561@gmail.com,Regular,Maria G. Ramos,1,1,1,1,8,1st - 1st Semester,3.04,4,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0
2402006268,"Morales, Angel Faith",BSIS / 1st Year,CITC,Kitaotao,angel.morales8370@buksu.edu.ph,Regular,Rhea L. Aquino,1,1,1,1,6,1st - 1st Semester,2.97,3,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
2402011347,"Salazar, Mae Grace",BSDAT-EMC / 4th Year,F,Main,mae.salazar536@buksu.edu.ph,Hybrid,John P. Navarro,0,0,0,0,4,3rd - 2nd Semester,2.05,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2302005999,"Salazar, Rafael Rae",BEEd / 4th Year,CTE,Baungon,rafael.salazar7016@buksu.edu.ph,Face to face,Leah C. Dizon,1,1,1,1,6,3rd - 2nd Semester,2.99,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2202006473,"Valencia, Rhea Beth",BSEd-English / 2nd Year,CTE,Baungon,rhea.valencia4403@gmail.com,Online,Maria G. Ramos,0,1,1,0,4,1st - 2nd Semester,2.5,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
2302008477,"Domingo, Nicole Lyn",BSMath / 3rd Year,CAS,Kalilangan,nicole.domingo5632@gmail.com,Regular,Raul Lecaros,1,1,1,1,6,3rd - 1st Semester,2.88,4,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0
2402009084,"Santos, Bryan Miguel",BSIS / 1st Year,CITC,Kibawe,bryan.santos2175@buksu.edu.ph,Hybrid,Nina V. Mendoza,1,1,1,1,9,1st - 1st Semester,3.35,6,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0
2401006768,"Aquino, Camille Rae",BSMath / 4th Year,CAS,Baungon,camille.aquino7249@gmail.com,Face to face,Maria G. Ramos,0,1,0,0,5,3rd - 2nd Semester,2.15,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
2302010403,"Lopez, Joshua Santos",BSCS / 2nd Year,CITC,Dangcagan,joshua.lopez5917@yahoo.com,Face to face,Patrick M. Rosales,1,1,1,1,4,1st - 2nd Semester,2.85,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2301005451,"Mercado, Joy Reyes",BSBio / 4th Year,CAS,Main,joy.mercado5354@buksu.edu.ph,Regular,Patrick M. Rosales,1,1,0,1,4,4th - 1st Semester,2.46,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
2402006017,"Fernandez, Kenneth Kate",BSCS / 2nd Year,CITC,Dangcagan,kenneth.fernandez1263@buksu.edu.ph,Hybrid,Raul Lecaros,1,1,1,0,4,2nd - 1st Semester,2.58,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
2202009356,"Rivera, Bryan Rae",BSA / 4th Year,CBAA,Baungon,bryan.rivera1957@buksu.edu.ph,Transferee,John P. Navarro,1,1,1,1,7,3rd - 2nd Semester,3.15,5,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0
2202004189,"Domingo, Maria Faith",BEEd / 3rd Year,CTE,Kitaotao,maria.domingo158@yahoo.com,Face to face,Angela S. Bautista,0,0,0,0,1,2nd - 2nd Semester,1.59,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2302006227,"Ocampo, Allen Hope",BPA / 4th Year,COA,Main,allen.ocampo5346@buksu.edu.ph,Face to face,Maria G. Ramos,1,1,1,0,4,3rd - 2nd Semester,2.69,3,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
2301010579,"Fernandez, Elijah Jane",BSPsych / 1st Year,CAS,Kibawe,elijah.fernandez7409@buksu.edu.ph,Regular,Maria G. Ramos,0,0,1,1,4,1st - 1st Semester,1.96,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2302004917,"Valencia, Kevin Kate",BSEd-English / 2nd Year,CTE,Main,kevin.valencia6991@buksu.edu.ph,Face to face,John P. Navarro,0,0,0,1,3,2nd - 1st Semester,1.63,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2302008519,"Pascual, Juan Lyn",BSN / 1st Year,CON,Talakag,juan.pascual4603@buksu.edu.ph,Returnee,Paolo D. Torres,0,0,0,0,2,1st - 1st Semester,1.88,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2401013324,"Valencia, Kevin Anne",BSEntrep / 3rd Year,CBAA,Main,kevin.valencia622@buksu.edu.ph,Face to face,Leah C. Dizon,1,1,1,0,4,3rd - 1st Semester,2.58,2,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
2202006671,"Lopez, Fatima Santos",BPA / 1st Year,COA,Dangcagan,fatima.lopez5847@buksu.edu.ph,Regular,John P. Navarro,1,1,0,1,6,1st - 1st Semester,2.39,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2301006842,"Lopez, Nathan Paolo",BPA / 2nd Year,COA,Main,nathan.lopez4089@gmail.com,Online,Aileen C. Domingo,1,1,1,1,7,1st - 2nd Semester,3,3,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0
2301006880,"Santos, Mae Rae",BSCS / 2nd Year,CITC,Dangcagan,mae.santos7910@gmail.com,Online,Angela S. Bautista,1,1,0,0,3,1st - 2nd Semester,2.03,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
2201004515,"Morales, Miguel Miguel",BSCS / 2nd Year,CITC,Main,miguel.morales6513@buksu.edu.ph,Transferee,Richard B. Salazar,1,1,0,0,3,2nd - 1st Semester,2.36,2,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
2401007955,"Ramos, Nicole Grace",BSIT / 2nd Year,CITC,Impasug-ong,nicole.ramos9364@gmail.com,Regular,Maria G. Ramos,1,1,0,1,3,2nd - 1st Semester,2.4,2,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
2401011602,"Salazar, Nathan Lopez",BSEd-Math / 1st Year,CTE,Main,nathan.salazar9284@buksu.edu.ph,Regular,Maria G. Ramos,1,1,0,1,4,1st - 1st Semester,2.45,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2301009062,"Ocampo, Kristine Santos",BSIS / 4th Year,CITC,Main,kristine.ocampo4924@yahoo.com,Online,Patrick M. Rosales,1,1,1,1,7,3rd - 2nd Semester,3.3,4,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
2202007386,"Gonzales, Joshua Joy",BSIT / 4th Year,CITC,Kitaotao,joshua.gonzales4489@buksu.edu.ph,Hybrid,Jose A. Flores,1,1,1,1,6,3rd - 2nd Semester,3.22,3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
