Student_No,Name,Midterm_CS_Equivalent,Midterm_LAB_Equivalent,Midterm_MO_Equivalent,Midterm_Grade,Finalterm_CS_Equivalent,Finalterm_LAB_Equivalent,Finalterm_MO_Equivalent,Finalterm_Grade,Midterm_Weighted_Component,Finalterm_Weighted_Component,Final_Grade,Remarks,Midterm_CS_Raw_Short_Film_Proposal,Midterm_LAB_Raw_Storyboard,Midterm_MO_Raw_Long_Quiz_50pts,Midterm_CS_Max,Midterm_LAB_Max,Midterm_MO_Max,Finalterm_PPR1_Raw_5pts,Finalterm_PPR2_Raw_5pts,Finalterm_PPR3_Raw_5pts,Finalterm_PPR4_Raw_5pts,Finalterm_PPR5_Raw_5pts,Finalterm_PPR_Max_Each
2303968087,"Mercado, Winchel E.",3,2.75,2.75,2.75,2.75,2.75,3,2.75,2.825,2.85,2.75,Passed,62,62,31,100,100,50,3.3,3.25,3.2,3.2,3.3,5
2388233309,"Domingo, Mary M.",1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,Passed,88,86,44,100,100,50,4.3,4.45,4.3,4.5,4.45,5
2327027923,"Tilanduca, Nicole K.",1,1,1.25,1.00,1.25,1,1,1.00,1.1,1.075,1.00,Passed,100,100,50,100,100,50,4.85,4.8,4.95,4.8,4.8,5
2288073661,"Tilanduca, Jessa J.",5,5,5,5.00,5,5,5,5.00,5,5,5.00,Failed,23,24,10.5,100,100,50,0.55,0.4,0.5,0.55,0.4,5
2380003692,"Garcia, Natalie O.",2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,Passed,76,78,38,100,100,50,3.8,3.8,3.7,3.7,3.8,5
2206889365,"Melendez, Claire I.",3,2.75,2.75,2.75,2.75,3,2.75,2.75,2.825,2.825,2.75,Passed,63,62,31,100,100,50,3.35,3.3,3.25,3.25,3.35,5
2225194993,"Dela Cruz, Jade N.",1.5,1.5,1.5,1.50,1.25,1.25,1.25,1.25,1.5,1.25,1.25,Passed,94,92,45.5,100,100,50,4.75,4.65,4.7,4.7,4.75,5
2271990059,"Dela Cerna, James O.",3.25,3,3,3.00,3,3.25,3.25,3.25,3.075,3.175,5.00,Failed,59,58,28,100,100,50,3.05,3.05,3,2.95,3.05,5
2210989054,"Fernandez, EJ D.",3,3,2.75,3.00,3,2.75,3,3.00,2.9,2.925,3.00,Passed,62,64,31.5,100,100,50,3.25,3.2,3.15,3.1,3.15,5
2227670303,"Merina, Sean L.",3.5,3.5,3.5,3.50,3.5,3.5,3.5,3.50,3.5,3.5,5.00,Failed,50,50,26,100,100,50,2.65,2.5,2.5,2.65,2.5,5
2360982602,"Garcia, Ian E.",2,2,2,2.00,2,2,1.75,2.00,2,1.9,2.00,Passed,80,80,40,100,100,50,4,4.05,4,4,4.1,5
2298184097,"Cabuco, Khiara D.",2,2,2,2.00,2,2,2,2.00,2,2,2.00,Passed,85,83,42,100,100,50,4.1,4.25,4.25,4.1,4.1,5
2274824044,"Lisondra, Jaymarc K.",1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,Passed,95,95,46,100,100,50,4.6,4.7,4.65,4.7,4.7,5
2379538533,"Tolentino, Sean E.",3.5,3.5,3.5,3.50,3.5,3.5,3.5,3.50,3.5,3.5,5.00,Failed,55,53,27.5,100,100,50,2.6,2.5,2.5,2.55,2.5,5
2295394305,"Flores, Mary G.",3.5,3.5,3.5,3.50,3.5,3.5,3.5,3.50,3.5,3.5,5.00,Failed,53,51,25,100,100,50,2.65,2.65,2.65,2.5,2.65,5
2292220987,"Tan, John F.",5,5,4,5.00,5,5,5,5.00,4.6,5,5.00,Failed,7,7,5.5,100,100,50,1.2,1.25,1.25,1.25,1.35,5
2366849674,"Cruz, Thomas C.",1.75,1.75,1.75,1.75,1.5,1.5,1.75,1.50,1.75,1.6,1.75,Passed,89,88,43.5,100,100,50,4.45,4.5,4.5,4.5,4.45,5
2203063486,"Villanueva, Miguel G.",3.5,3.5,3.5,3.50,3.5,3.5,3.5,3.50,3.5,3.5,5.00,Failed,52,52,25,100,100,50,2.7,2.6,2.5,2.65,2.5,5
2355554173,"Quimbo, Mary M.",2,1.75,2,2.00,2,2,2,2.00,1.925,2,2.00,Passed,83,85,42,100,100,50,4,4.05,4.15,4.2,4.15,5
2260477796,"Rivera, Jeter F.",3.5,3.5,3.5,3.50,3.5,3.5,3.25,3.50,3.5,3.4,5.00,Failed,50,50,25,100,100,50,2.5,2.5,2.6,2.5,2.5,5
2321502087,"Merina, Patrick K.",2.5,2.5,2.75,2.50,2.5,2.75,2.5,2.50,2.6,2.575,2.50,Passed,73,73,36.5,100,100,50,3.55,3.6,3.6,3.45,3.45,5
2360472086,"Cabuco, Nathan O.",2.75,2.75,2.75,2.75,3,3,2.75,3.00,2.75,2.9,2.75,Passed,65,66,33.5,100,100,50,3.1,3.1,3.1,3.2,3.1,5
2341324106,"Lisondra, Angela L.",1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.325,1.25,1.25,Passed,91,93,45.5,100,100,50,4.7,4.75,4.65,4.7,4.6,5
2235615196,"Lintawahan, Johann C.",1,1,1,1.00,1,1.25,1,1.00,1,1.075,1.00,Passed,96,99,50,100,100,50,4.85,4.9,4.95,4.85,4.85,5
2337281919,"Salto, Juvel B.",3.5,3.5,3.5,3.50,3.5,3.5,3.5,3.50,3.5,3.5,5.00,Failed,54,54,27,100,100,50,2.55,2.5,2.6,2.65,2.55,5
2326900416,"Mercado, Sean O.",1,1,1,1.00,1,1,1,1.00,1,1,1.00,Passed,98,98,50,100,100,50,5,4.9,5,4.9,5,5
2240553602,"Quimbo, Anne H.",3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,5.00,Failed,61,59,29,100,100,50,2.95,2.85,2.95,2.9,2.9,5
2321420541,"Lisondra, John C.",2,2,2,2.00,2,2,1.75,2.00,2,1.9,2.00,Passed,82,82,40.5,100,100,50,4,4,4.1,4.15,4.1,5
2205411830,"Magante, Kate H.",2.25,2.5,2.25,2.25,2.25,2.25,2.25,2.25,2.325,2.25,2.25,Passed,79,78,39.5,100,100,50,3.75,3.95,3.95,3.95,3.95,5
2371636578,"Gonzales, Sean I.",2.5,2.75,2.5,2.50,2.75,2.75,2.75,2.75,2.575,2.75,2.75,Passed,71,73,36.5,100,100,50,3.4,3.45,3.45,3.4,3.4,5
2212759157,"Tilanduca, Kevin B.",2,2,2,2.00,2,2,2,2.00,2,2,2.00,Passed,82,80,40.5,100,100,50,4.05,4.15,4.2,4.2,4.2,5
2299608938,"Valdez, Rogelio I.",5,4,5,5.00,5,5,5,5.00,4.7,5,5.00,Failed,4,7,2.5,100,100,50,0.25,0.3,0.35,0.3,0.2,5
2366047937,"Quimbo, Ian B.",3,2.75,2.75,2.75,2.75,3,2.75,2.75,2.825,2.825,2.75,Passed,62,62,31,100,100,50,3.2,3.25,3.25,3.3,3.35,5
2300861581,"Halinon, Elisabeth C.",3.25,3.25,3,3.25,3.25,3.25,3.25,3.25,3.15,3.25,5.00,Failed,60,59,29,100,100,50,3,2.8,2.9,2.9,2.95,5
2233920232,"Aquino, Gabriel C.",3.5,3.5,3.5,3.50,3.5,3.5,3.5,3.50,3.5,3.5,5.00,Failed,53,53,25.5,100,100,50,2.6,2.65,2.75,2.6,2.55,5
2297877423,"Delfin, Mary L.",1.25,1.25,1.5,1.25,1.25,1.5,1.25,1.25,1.35,1.325,1.25,Passed,94,95,47.5,100,100,50,4.7,4.75,4.65,4.75,4.75,5
2249845357,"Salto, Daniel N.",3.5,3.5,3.5,3.50,3.5,3.5,3.5,3.50,3.5,3.5,5.00,Failed,53,53,27,100,100,50,2.7,2.65,2.75,2.7,2.65,5
2373063753,"Navarro, Khiara E.",3.25,3.25,3.25,3.25,3,3,3.25,3.00,3.25,3.1,5.00,Failed,59,56,28,100,100,50,3.05,3.05,3.05,2.95,3.05,5
2384875828,"Abad, Miguel O.",3.25,3,3.25,3.25,3.25,3.25,3.25,3.25,3.175,3.25,5.00,Failed,57,57,28,100,100,50,2.85,2.9,2.8,2.85,2.95,5
2233889224,"Mendoza, Lance H.",3.25,3.25,3.25,3.25,3.25,3.25,3,3.25,3.25,3.15,5.00,Failed,58,56,28,100,100,50,2.95,3,2.95,2.95,2.9,5
2323736914,"Domingo, Renz L.",2.25,2.5,2.25,2.25,2.25,2.25,2.25,2.25,2.325,2.25,2.25,Passed,75,74,38,100,100,50,3.85,3.9,3.85,3.75,3.9,5
2349504649,"Dela Cruz, Maria M.",1.75,1.5,1.5,1.50,1.75,1.75,1.75,1.75,1.575,1.75,1.75,Passed,88,89,44,100,100,50,4.35,4.35,4.5,4.5,4.45,5
2392553352,"Rivera, Natalie P.",2.75,2.75,3,2.75,2.75,2.75,3,2.75,2.85,2.85,2.75,Passed,66,67,33,100,100,50,3.3,3.35,3.35,3.35,3.35,5
2289916450,"Merina, James N.",1.25,1.25,1.5,1.25,1.25,1.25,1.5,1.25,1.35,1.35,1.25,Passed,95,95,47,100,100,50,4.75,4.75,4.7,4.7,4.65,5
2285206184,"Malana, Rica N.",2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,Passed,77,78,39.5,100,100,50,3.95,3.9,3.85,3.95,3.95,5
2330971107,"Mercado, Ella I.",5,5,5,5.00,5,3.75,5,5.00,5,4.625,5.00,Failed,34,36,17.5,100,100,50,0.85,1.05,1.05,1,1,5
2392700843,"Torres, Faith O.",4,5,3.75,5.00,5,5,5,5.00,4.2,5,5.00,Failed,43,41,21.5,100,100,50,1.45,1.45,1.4,1.6,1.45,5
2393564337,"Albarracin, Carlo E.",3.25,3.25,3.25,3.25,3.25,3,3.25,3.25,3.25,3.175,5.00,Failed,57,56,28,100,100,50,2.9,3.05,2.85,2.9,3,5
2278703199,"Reyes, John J.",1,1,1.25,1.00,1,1,1,1.00,1.1,1,1.00,Passed,100,100,50,100,100,50,4.8,4.9,4.85,4.95,4.9,5
2382033177,"Rubio, Kevin F.",2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,Passed,76,79,38,100,100,50,3.75,3.85,3.9,3.8,3.9,5
2204069756,"Tolentino, Miky L.",2,2,2,2.00,2,2,2,2.00,2,2,2.00,Passed,85,84,42.5,100,100,50,4.25,4.2,4.2,4.2,4.25,5
2389425779,"Delfin, Christian G.",3.75,5,4,5.00,3.75,5,5,5.00,4.225,4.625,5.00,Failed,49,49,24.5,100,100,50,2.45,2.45,2.35,2.45,2.45,5
2232202942,"Merina, Renz P.",2.75,2.5,2.5,2.50,2.75,2.5,2.75,2.75,2.575,2.675,2.75,Passed,70,69,34.5,100,100,50,3.4,3.45,3.4,3.4,3.4,5
2389008135,"Bautista, Juvel B.",3.5,3.5,3.5,3.50,3.5,3.5,3.5,3.50,3.5,3.5,5.00,Failed,50,51,25,100,100,50,2.7,2.55,2.6,2.5,2.55,5
2201932354,"Rubio, Mark J.",2.5,2.5,2.5,2.50,2.5,2.75,2.5,2.50,2.5,2.575,2.50,Passed,72,70,35,100,100,50,3.5,3.5,3.65,3.65,3.5,5
2210013062,"Halinon, Winchel B.",2.75,2.5,2.75,2.75,2.5,2.5,2.75,2.50,2.675,2.6,2.50,Passed,71,68,34,100,100,50,3.55,3.65,3.65,3.55,3.5,5
2281665110,"Mendoza, Jessa F.",3,3,3.25,3.00,3,3.25,3.25,3.25,3.1,3.175,5.00,Failed,61,61,30.5,100,100,50,3.05,2.95,3.05,3.05,2.95,5
2351964329,"Malana, Alyssa E.",2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,Passed,75,78,38.5,100,100,50,3.8,3.85,3.85,3.7,3.7,5
2257073236,"Rivera, Miguel A.",3.25,3.25,3,3.25,3.25,3,3,3.00,3.15,3.075,3.00,Passed,56,59,28,100,100,50,2.85,2.85,2.9,2.8,2.8,5
2227469944,"Valdez, Jannerie P.",1.25,1.5,1.25,1.25,1.5,1.25,1.5,1.50,1.325,1.425,1.50,Passed,95,92,46,100,100,50,4.7,4.65,4.6,4.6,4.65,5
2348811979,"Maraon, Thomas K.",5,3.75,5,5.00,3.75,5,3.75,5.00,4.625,4.125,5.00,Failed,17,17,7.5,100,100,50,2.25,2.4,2.2,2.4,2.2,5
2370302684,"Soriano, Maria E.",5,5,5,5.00,5,5,5,5.00,5,5,5.00,Failed,2,2,0.5,100,100,50,1.5,1.35,1.35,1.55,1.45,5
2249121577,"Flores, Carlo E.",1.75,1.75,1.5,1.75,1.75,1.5,1.5,1.50,1.65,1.575,1.50,Passed,87,88,43,100,100,50,4.45,4.5,4.4,4.4,4.4,5
2216063238,"Magante, John F.",2.75,2.5,2.5,2.50,2.5,2.75,2.5,2.50,2.575,2.575,2.50,Passed,68,70,34,100,100,50,3.55,3.55,3.65,3.65,3.65,5
2358581305,"Castro, Elisabeth M.",3.5,3.5,3.5,3.50,3.5,3.5,3.25,3.50,3.5,3.4,5.00,Failed,51,52,25,100,100,50,2.6,2.6,2.75,2.65,2.6,5
2288611064,"Santos, Jaymarc I.",2.75,2.75,3,2.75,3,2.75,3,3.00,2.85,2.925,3.00,Passed,66,64,33.5,100,100,50,3.1,3.1,3.2,3.15,3.25,5
2225567329,"Garcia, Miguel O.",1.5,1.5,1.75,1.50,1.75,1.75,1.75,1.75,1.6,1.75,1.75,Passed,89,89,45,100,100,50,4.3,4.35,4.45,4.3,4.45,5
2312081294,"Gonzales, Jeter C.",1.25,1.5,1.25,1.25,1.25,1.5,1.25,1.25,1.325,1.325,1.25,Passed,94,94,47.5,100,100,50,4.7,4.75,4.75,4.75,4.75,5
2394514973,"Magante, EJ G.",2.25,2.5,2.25,2.25,2.25,2.5,2.25,2.25,2.325,2.325,2.25,Passed,77,79,39,100,100,50,3.75,3.8,3.8,3.9,3.75,5
2279235017,"Publico, Dean P.",2,2,2,2.00,2,2,2,2.00,2,2,2.00,Passed,84,82,42.5,100,100,50,4.05,4.2,4.1,4.2,4.15,5
2265967062,"Tolentino, Donna E.",3.25,3.5,3.5,3.50,3.5,3.5,3.5,3.50,3.425,3.5,5.00,Failed,55,55,27.5,100,100,50,2.5,2.6,2.6,2.5,2.5,5
2352188294,"Maraon, Thomas M.",1.5,1.5,1.75,1.50,1.75,1.75,1.75,1.75,1.6,1.75,1.75,Passed,87,90,45,100,100,50,4.3,4.35,4.35,4.4,4.4,5
2280304483,"Malana, Anne D.",2.5,2.75,2.5,2.50,2.75,2.75,2.5,2.75,2.575,2.65,2.50,Passed,72,73,36.5,100,100,50,3.5,3.4,3.5,3.4,3.4,5
2339511059,"Salazar, Pia F.",2,2,2,2.00,2,2,2,2.00,2,2,2.00,Passed,81,81,41.5,100,100,50,4.25,4.2,4.2,4.05,4.1,5
2345120046,"Salazar, Sean K.",3.25,3,3.25,3.25,3.25,3,3.25,3.25,3.175,3.175,5.00,Failed,59,57,29.5,100,100,50,2.9,2.9,2.95,3,2.85,5
2285070158,"Ramos, Ella J.",3.25,3.25,3.25,3.25,3,3.25,3.25,3.25,3.25,3.175,5.00,Failed,57,57,29,100,100,50,3.05,3.05,3,3.05,3,5
2322064651,"Lisondra, Jessa L.",3,2.75,3,3.00,3,3,2.75,3.00,2.925,2.9,3.00,Passed,64,63,31.5,100,100,50,3.1,3.25,3.1,3.1,3.15,5
2246153252,"Salto, Franz P.",1.5,1.5,1.75,1.50,1.5,1.75,1.75,1.75,1.6,1.675,1.75,Passed,90,90,45,100,100,50,4.4,4.45,4.5,4.4,4.5,5
2264604723,"Villanueva, Natalie L.",2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,Passed,78,78,39,100,100,50,3.95,3.95,3.8,3.85,3.85,5
2237396869,"Rubio, Meljon N.",1.5,1.25,1.5,1.50,1.5,1.5,1.25,1.50,1.425,1.4,1.50,Passed,91,91,46,100,100,50,4.65,4.65,4.55,4.55,4.65,5
2288856046,"Lantinay, John C.",1,1,1,1.00,1,1,1,1.00,1,1,1.00,Passed,100,98,50,100,100,50,5,4.95,5,5,5,5
2234349662,"Navarro, Lance O.",1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,Passed,86,86,43,100,100,50,4.4,4.35,4.3,4.4,4.3,5
2236621328,"Lantinay, Paul O.",1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,Passed,87,86,43,100,100,50,4.3,4.3,4.3,4.35,4.3,5
2364831323,"Maraon, Angela O.",1.75,1.75,1.75,1.75,1.75,1.5,1.5,1.50,1.75,1.575,1.75,Passed,87,86,43,100,100,50,4.5,4.45,4.4,4.4,4.45,5
2394590185,"Lintawahan, Joshua A.",2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,Passed,78,79,39.5,100,100,50,3.85,3.95,3.95,3.8,3.95,5
2353573449,"Malana, Sean F.",3.25,3.25,3.25,3.25,3,3.25,3.25,3.25,3.25,3.175,5.00,Failed,59,58,28.5,100,100,50,3.05,3.05,3.05,2.9,3.05,5
2284189997,"Torres, Kate G.",3,3,3,3.00,2.75,2.75,2.75,2.75,3,2.75,2.75,Passed,62,63,32,100,100,50,3.15,3.3,3.35,3.35,3.15,5
2389307369,"Garcia, Angela P.",2.75,2.5,2.5,2.50,2.5,2.5,2.75,2.50,2.575,2.6,2.50,Passed,70,69,35,100,100,50,3.65,3.55,3.65,3.65,3.55,5
2335113039,"Gumapac, Angela L.",5,5,3.75,5.00,5,5,4,5.00,4.5,4.6,5.00,Failed,8,9,6,100,100,50,0.35,0.3,0.35,0.25,0.25,5
2267642640,"Malana, Jannerie K.",3,3,2.75,3.00,3,3,2.75,3.00,2.9,2.9,3.00,Passed,62,63,31.5,100,100,50,3.2,3.2,3.2,3.1,3.3,5
2352345718,"Tilanduca, Miguel H.",2,2,2,2.00,2,2,2,2.00,2,2,2.00,Passed,85,82,41,100,100,50,4.15,4.05,4.15,4.05,4.2,5
2313693456,"Añonuevo, Jessa E.",3,3.25,3.25,3.25,3.25,3.25,3,3.25,3.175,3.15,5.00,Failed,61,61,30.5,100,100,50,2.85,2.8,2.9,2.9,2.8,5
2285559560,"Valdez, Claire K.",3.5,3.5,3.5,3.50,3.5,3.5,3.5,3.50,3.5,3.5,5.00,Failed,51,54,25,100,100,50,2.55,2.6,2.5,2.65,2.55,5
2233189051,"Torres, Angela J.",2.25,2.25,2.25,2.25,2.5,2.25,2.25,2.25,2.25,2.325,2.25,Passed,78,77,39,100,100,50,3.7,3.7,3.7,3.75,3.75,5
2228355544,"Valdez, Meljon E.",1.25,1,1.25,1.25,1.25,1.25,1,1.25,1.175,1.15,1.25,Passed,97,96,48,100,100,50,4.8,4.8,4.9,4.8,4.8,5
2246094258,"Gumapac, Kim M.",2.25,2.5,2.25,2.25,2.25,2.25,2.25,2.25,2.325,2.25,2.25,Passed,77,76,38,100,100,50,3.95,3.95,3.95,3.9,3.95,5
2224547574,"Mendoza, Nathan E.",1.5,1.75,1.5,1.50,1.75,1.5,1.75,1.75,1.575,1.675,1.75,Passed,90,89,45,100,100,50,4.35,4.4,4.35,4.3,4.3,5
2216727963,"Valdez, Christian L.",3.75,5,5,5.00,5,5,5,5.00,4.625,5,5.00,Failed,48,49,24.5,100,100,50,0.45,0.45,0.45,0.6,0.5,5
2352291964,"Castro, Mary G.",1.5,1.25,1.25,1.25,1.5,1.25,1.5,1.50,1.325,1.425,1.50,Passed,92,92,46.5,100,100,50,4.55,4.6,4.7,4.55,4.55,5
2240651142,"Lantinay, Johann E.",1.25,1,1,1.00,1,1,1,1.00,1.075,1,1.00,Passed,98,96,48,100,100,50,4.85,4.8,4.8,4.9,4.9,5
2283362232,"Nuer, Dean J.",1.75,1.75,1.75,1.75,1.5,1.75,1.5,1.50,1.75,1.575,1.75,Passed,86,86,44.5,100,100,50,4.5,4.45,4.5,4.4,4.45,5
2320891310,"Garcia, Nicole G.",1.75,1.75,1.5,1.75,1.75,1.75,1.75,1.75,1.65,1.75,1.75,Passed,86,88,44,100,100,50,4.4,4.5,4.45,4.3,4.45,5
2209969176,"Dela Cruz, Mark K.",2.75,2.75,2.75,2.75,2.5,2.75,2.5,2.50,2.75,2.575,2.75,Passed,69,68,36,100,100,50,3.4,3.55,3.45,3.6,3.55,5
2251998510,"Malana, Dean I.",3,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.175,3.25,5.00,Failed,61,61,30.5,100,100,50,2.9,2.8,2.85,2.95,2.9,5
2372313000,"Dela Cruz, Anne P.",1,1,1,1.00,1,1,1,1.00,1,1,1.00,Passed,96,98,48.5,100,100,50,5,4.85,4.95,5,5,5
2241568831,"Rubio, Dean D.",5,4,5,5.00,5,5,3.75,5.00,4.7,4.5,5.00,Failed,7,4,3.5,100,100,50,1.75,1.8,1.65,1.75,1.7,5
2339732112,"Valdez, Mary E.",1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,Passed,86,86,43.5,100,100,50,4.35,4.35,4.3,4.3,4.4,5
2340502733,"Cajes, Lester A.",3.5,3.25,3.5,3.50,3.5,3.5,3.5,3.50,3.425,3.5,5.00,Failed,55,54,27,100,100,50,2.75,2.6,2.7,2.75,2.7,5
2364467033,"Albarracin, Kyle F.",3.5,3.5,3.5,3.50,3.5,3.5,3.5,3.50,3.5,3.5,5.00,Failed,53,50,26.5,100,100,50,2.7,2.6,2.7,2.7,2.7,5
2281659605,"Publico, Lance K.",3.5,3.25,3.5,3.50,3.5,3.5,3.5,3.50,3.425,3.5,5.00,Failed,51,53,25.5,100,100,50,2.75,2.65,2.6,2.7,2.75,5
2247637267,"Mercado, Patrick G.",2,2,2,2.00,2,2,2,2.00,2,2,2.00,Passed,80,80,40,100,100,50,4.1,4.15,4.2,4.25,4.2,5
